level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
0,M01599,Vacuum Table - Evo / Pro,1.00,,,True
1,M01557,"VAC-Evo/Pro (Complete Setup, S) [M0 use]",1.00,M01599,Vacuum Table - Evo / Pro,True
2,M01563,VAC-Evo/Pro - A - Pump & Connectors,1.00,M01557,"VAC-Evo/Pro (Complete Setup, S) [M0 use]",True
3,M01261,Storm Vacuum Pump,1.00,M01563,VAC-Evo/Pro - A - Pump & Connectors,False
3,M01582,VAC-Evo/Pro - PVC Filter Kits,1.00,M01563,VAC-Evo/Pro - A - Pump & Connectors,False
3,M01404,Canister Filter for Storm Vacuum Pump,1.00,M01563,VAC-Evo/Pro - A - Pump & Connectors,False
3,M01274,"Power Socket Wall Mount, Female, 2P+E, 32A, 230 V",1.00,M01563,VAC-Evo/Pro - A - Pump & Connectors,False
3,M01357,VAC - Power Supply Cable Ready-to-use,1.00,M01563,VAC-Evo/Pro - A - Pump & Connectors,True
4,M01277,2P Pole Isolator Switch - 32A,1.00,M01357,VAC - Power Supply Cable Ready-to-use,False
4,M01275,"Power Socket Cable Mount, Male, IEC 60309, 2P+E, 32A, 230 V",1.00,M01357,VAC - Power Supply Cable Ready-to-use,False
4,M01278,Cable 3x6.0mm² (2P+1) for 32A [m],3.00,M01357,VAC - Power Supply Cable Ready-to-use,False
4,M01276,"Cable Gland M25 + Locknut, D11-17mm, Black",2.00,M01357,VAC - Power Supply Cable Ready-to-use,False
3,M01350,VAC-Fab - Socket Wall Mount Bag,1.00,M01563,VAC-Evo/Pro - A - Pump & Connectors,True
4,M01340,Concrete Anchor 6x50mm,4.00,M01350,VAC-Fab - Socket Wall Mount Bag,False
4,M01341,"Wood screw 4,5x50mm",4.00,M01350,VAC-Fab - Socket Wall Mount Bag,False
4,M00987,Cable Tie 450mm x 5mm,2.00,M01350,VAC-Fab - Socket Wall Mount Bag,False
2,M01577,VAC-Evo/Pro - B - Piping Box (Size: S),1.00,M01557,"VAC-Evo/Pro (Complete Setup, S) [M0 use]",True
3,M01291,Coude PP 50mm 90° F/F,5.00,M01577,VAC-Evo/Pro - B - Piping Box (Size: S),False
3,M01292,Coude PP 50mm 90° F/M,1.00,M01577,VAC-Evo/Pro - B - Piping Box (Size: S),False
3,M01293,Té PP 50mm F/F/F,3.00,M01577,VAC-Evo/Pro - B - Piping Box (Size: S),False
3,M01263,Bulkhead PVC Fitting 50mm,4.00,M01577,VAC-Evo/Pro - B - Piping Box (Size: S),False
3,M01264,Guillotine Valve PVC 50mm,3.00,M01577,VAC-Evo/Pro - B - Piping Box (Size: S),False
3,M01661,VAC-Evo/Pro - Pipes (Size: S),1.00,M01577,VAC-Evo/Pro - B - Piping Box (Size: S),True
4,M01386,Pipe PP - diam.50 L3000,2.00,M01661,VAC-Evo/Pro - Pipes (Size: S),False
4,M01664,Tuyau PP 50mm - 350mm,1.00,M01661,VAC-Evo/Pro - Pipes (Size: S),False
4,M01671,Tuyau PP 50mm - 250mm,4.00,M01661,VAC-Evo/Pro - Pipes (Size: S),False
4,M01666,Tuyau PP 50mm - 240mm,1.00,M01661,VAC-Evo/Pro - Pipes (Size: S),False
4,M01667,Tuyau PP 50mm - 230mm,1.00,M01661,VAC-Evo/Pro - Pipes (Size: S),False
4,M01668,Tuyau PP 50mm - 140mm,3.00,M01661,VAC-Evo/Pro - Pipes (Size: S),False
4,M01669,Tuyau PP 50mm - 100mm,2.00,M01661,VAC-Evo/Pro - Pipes (Size: S),False
4,M01648,Tuyau PP 50mm - 80mm,4.00,M01661,VAC-Evo/Pro - Pipes (Size: S),False
2,M01580,VAC-Evo/Pro - C - Hardware Box (Size: S),1.00,M01557,"VAC-Evo/Pro (Complete Setup, S) [M0 use]",True
3,M01570,VAC-Evo/Pro - Bag - Rubber cord,1.00,M01580,VAC-Evo/Pro - C - Hardware Box (Size: S),True
4,M00513,"Face milling end mill 25mm, shank 8mm",1.00,M01570,VAC-Evo/Pro - Bag - Rubber cord,False
